ID	Concept_ID	Class	English	French	MSA	Dialect	Example	En_lemma_POS	Fr_lemma_POS	MSA_lemma_POS	CODA	Tokenization	CAPHI	Release Status	Release Note
810	26	OpenClass	watch	montre	ساعَة	RIY		watch_NOUN	montre_NOUN	sAEap_NOUN	ساعة	ساعة	s aa 3 a	READY	
818	26	OpenClass	watch	montre	ساعَة	JED		watch_NOUN	montre_NOUN	sAEap_NOUN	ساعة ايد	ساعة ايد	s aa 3 a t # 2 ii d	READY	
819	26	OpenClass	watch	montre	ساعَة	RIY		watch_NOUN	montre_NOUN	sAEap_NOUN	ساعة ايد	ساعة ايد	s aa 3 a t # 2 ii d	READY	
820	26	OpenClass	watch	montre	ساعَة	JED		watch_NOUN	montre_NOUN	sAEap_NOUN	ساعة يد	ساعة يد	s aa 3 a t # y a d d	READY	
821	26	OpenClass	watch	montre	ساعَة	RIY		watch_NOUN	montre_NOUN	sAEap_NOUN	ساعة يد	ساعة يد	s aa 3 a t # y a d d	READY	
847	28	OpenClass	pain , hurt	douleur , mal	أَلَم	JED		pain_NOUN , hurt_NOUN	douleur_NOUN , mal_NOUN	Oalam_NOUN	الم	الم	2 a l a m	READY	
848	28	OpenClass	pain , hurt	douleur , mal	أَلَم	JED		pain_NOUN , hurt_NOUN	douleur_NOUN , mal_NOUN	Oalam_NOUN	الم	الم	2 a l a m	READY	
857	28	OpenClass	pain , hurt	douleur , mal	أَلَم	RIY		pain_NOUN , hurt_NOUN	douleur_NOUN , mal_NOUN	Oalam_NOUN	الم	الم	2 a l a m	READY	
858	28	OpenClass	pain , hurt	douleur , mal	أَلَم	RIY		pain_NOUN , hurt_NOUN	douleur_NOUN , mal_NOUN	Oalam_NOUN	الم	الم	2 a l a m	READY	
906	28	OpenClass	pain , hurt	douleur , mal	أَلَم	JED		pain_NOUN , hurt_NOUN	douleur_NOUN , mal_NOUN	Oalam_NOUN	وجع	وجع	w a j a 3	READY	
907	28	OpenClass	pain , hurt	douleur , mal	أَلَم	JED		pain_NOUN , hurt_NOUN	douleur_NOUN , mal_NOUN	Oalam_NOUN	وجع	وجع	w a j a 3	READY	
913	28	OpenClass	pain , hurt	douleur , mal	أَلَم	RIY		pain_NOUN , hurt_NOUN	douleur_NOUN , mal_NOUN	Oalam_NOUN	وجع	وجع	w a j a 3	READY	
